row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
49,UHA-0072,9,2.03E-03,2.41E-05,UHA-0014,9,9,0,6.21E+00,UHA-0266,9,9,0,7.71E+00,5.84E+00,*,9,0,1.10E+01,1.10E+01,*
50,UHA-0073,9,7.26E-04,7.02E-05,UHA-0014,9,9,0,9.41E+00,UHA-0267,9,9,0,1.05E+01,1.13E+00,-,9,1,5.77E+00,9.36E-01,+
51,UHA-0074,9,3.10E-03,4.50E-06,UHA-0014,9,9,0,3.69E+00,UHA-0257,9,9,0,7.52E+00,2.67E+00,+,9,1,6.23E+00,6.23E+00,*
52,UHA-0076,9,1.31E-03,2.79E-05,UHA-0014,9,9,0,6.83E+00,UHA-0266,9,9,0,8.54E+00,2.09E+00,+,9,0,1.08E+01,1.08E+01,*
53,UHA-0100,9,1.20E-04,9.23E-07,UHA-0257,9,9,0,7.80E+00,UHA-0258,9,9,0,1.09E+01,1.09E+01,*,9,1,8.81E+00,8.81E+00,*
54,UHA-0102,9,2.23E-04,1.01E-06,UHA-0257,9,9,0,7.74E+00,UHA-0351,9,9,0,1.08E+01,1.08E+01,*,9,0,1.42E+01,1.42E+01,*
55,UHA-0106,9,1.03E-03,4.29E-05,UHA-0257,9,9,0,7.72E+00,UHA-0260,9,9,0,5.78E+00,5.62E+00,*,9,0,9.93E+00,6.74E+00,*
56,UHA-0110,9,3.23E-04,2.18E-05,UHA-0257,9,9,0,8.87E+00,UHA-0258,9,9,1,2.40E+00,2.40E+00,+,9,2,-1.33E+00,0.00E+00,
57,UHA-0036,9,3.11E-04,6.83E-05,UHA-0261,9,9,1,3.09E+00,UHA-0257,9,9,0,7.11E+00,7.11E+00,*,9,1,1.06E+01,1.06E+01,*
58,UHA-0037,9,5.48E-04,2.81E-04,UHA-0261,9,9,1,2.70E+00,UHA-0257,9,9,0,6.03E+00,4.35E+00,*,9,1,8.83E+00,7.06E+00,*
59,UHA-0038,9,9.66E-04,6.24E-04,UHA-0261,9,9,1,4.65E+00,UHA-0351,9,9,0,8.41E+00,8.41E+00,*,9,1,9.21E+00,5.41E+00,*
60,UHA-0089,9,1.47E-04,3.09E-06,UHA-0014,9,9,0,8.51E+00,UHA-0266,9,9,1,4.23E+00,0.00E+00,,9,1,6.71E+00,6.71E+00,*
61,UHA-0040,9,3.04E-03,1.34E-03,UHA-0261,9,9,1,4.47E+00,UHA-0351,9,9,0,6.89E+00,5.01E+00,*,9,1,8.38E+00,8.38E+00,*
62,UHA-0041,9,1.25E-04,6.10E-08,UHA-0261,9,9,0,9.27E+00,UHA-0260,9,9,1,8.47E+00,8.47E+00,*,9,1,1.09E+01,1.09E+01,*
63,UHA-0090,9,1.42E-03,4.35E-06,UHA-0014,9,9,0,5.30E+00,UHA-0266,9,9,0,9.76E+00,3.35E+00,+,9,0,1.29E+01,1.29E+01,*
64,UHA-0059,9,3.08E-04,9.66E-05,UHA-0260,9,9,1,6.65E+00,UHA-0257,9,9,0,7.10E+00,7.10E+00,*,9,1,1.00E+01,1.00E+01,*
65,UHA-0063,9,7.65E-05,5.42E-02,UHA-0260,9,9,7,-2.69E+01,UHA-0176,9,9,0,1.56E+01,1.00E+01,*,9,7,1.23E+01,9.39E+00,*
66,UHA-0082,9,1.60E-03,1.33E-04,UHA-0014,9,9,0,7.88E+00,UHA-0009,9,9,0,6.13E+00,0.00E+00,,9,1,3.75E+00,6.79E-01,+
67,UHA-0083,9,5.81E-04,1.06E-05,UHA-0014,9,9,0,8.19E+00,UHA-0266,9,9,1,3.53E+00,0.00E+00,,9,1,5.74E+00,5.74E+00,*
68,UHA-0084,9,5.84E-04,5.79E-06,UHA-0014,9,9,0,6.86E+00,UHA-0266,9,9,0,9.50E+00,7.72E+00,*,9,0,1.25E+01,1.25E+01,*
69,UHA-0085,9,4.02E-04,1.56E-05,UHA-0014,9,9,0,9.19E+00,UHA-0266,9,9,0,7.88E+00,4.47E+00,*,9,0,1.11E+01,1.11E+01,*
70,UHA-0086,9,2.93E-04,9.24E-06,UHA-0014,9,9,0,9.19E+00,UHA-0266,9,9,0,8.46E+00,5.04E+00,*,9,0,1.17E+01,1.17E+01,*
71,UHA-0087,9,3.17E-05,3.24E-04,UHA-0014,9,9,1,5.97E+00,UHA-0262,9,9,0,1.22E+01,6.02E+00,*,9,1,1.12E+01,6.50E+00,*
72,UHA-0088,9,3.67E-04,4.79E-05,UHA-0014,9,9,0,7.53E+00,UHA-0262,9,9,0,7.96E+00,6.49E+00,*,9,2,-3.05E-01,0.00E+00,
73,UHA-0091,9,4.82E-04,8.43E-06,UHA-0014,9,9,0,7.20E+00,UHA-0266,9,9,1,3.64E+00,1.22E+00,-,9,1,5.67E+00,5.67E+00,*
74,UHA-0113,9,1.23E-03,1.48E-04,UHA-0257,9,9,0,8.59E+00,UHA-0260,9,9,0,5.18E+00,5.18E+00,*,9,0,8.52E+00,8.52E+00,*
75,UHA-0114,9,2.52E-04,1.10E-07,UHA-0257,9,9,0,7.57E+00,UHA-0260,9,9,1,7.10E+00,7.10E+00,*,9,1,1.04E+01,1.04E+01,*
76,UHA-0115,9,7.77E-04,3.00E-05,UHA-0351,9,9,0,7.77E+00,UHA-0258,9,9,1,3.47E+00,1.76E+00,+,9,1,5.38E+00,5.38E+00,*
77,UHA-0116,9,1.84E-04,6.42E-07,UHA-0351,9,9,0,8.26E+00,UHA-0260,9,9,0,1.07E+01,1.07E+01,*,9,0,1.46E+01,1.46E+01,*
78,UHA-0118,9,2.34E-04,1.98E-06,UHA-0351,9,9,0,9.11E+00,UHA-0261,9,9,0,1.16E+01,1.16E+01,*,9,0,1.40E+01,1.40E+01,*
79,UHA-0119,9,5.53E-04,2.32E-05,UHA-0351,9,9,0,8.35E+00,UHA-0257,9,9,0,9.44E+00,9.44E+00,*,9,0,1.12E+01,1.12E+01,*
80,UHA-0120,9,1.12E-04,2.96E-06,UHA-0351,9,9,0,9.56E+00,UHA-0257,9,9,0,9.69E+00,9.69E+00,*,9,0,1.27E+01,1.27E+01,*
81,UHA-0121,9,1.61E-04,1.91E-05,UHA-0351,9,9,0,1.12E+01,UHA-0257,9,9,0,7.94E+00,7.94E+00,*,9,0,1.07E+01,1.07E+01,*
82,UHA-0122,9,5.18E-04,6.15E-05,UHA-0351,9,9,0,1.14E+01,UHA-0257,9,9,0,7.53E+00,7.53E+00,*,9,0,1.01E+01,1.01E+01,*
83,UHA-0123,9,3.68E-04,5.45E-04,UHA-0010,9,9,1,2.85E+00,UHA-0259,9,9,1,3.36E+00,7.80E-01,-,9,2,4.50E+00,3.36E+00,*
84,UHA-0124,8,5.52E-03,4.34E-04,UHA-0010,9,8,0,5.33E+00,UHA-0259,9,8,1,7.76E-01,0.00E+00,,8,1,2.61E+00,1.88E+00,+
85,UHA-0125,9,3.62E-04,3.27E-05,UHA-0010,9,9,1,2.69E+00,UHA-0016,8,8,2,-5.49E+00,0.00E+00,,8,3,-4.83E+00,0.00E+00,
86,UHA-0128,9,1.10E-03,2.89E-04,UHA-0010,9,9,2,-5.95E+00,UHA-0259,9,9,0,9.94E+00,9.67E+00,*,9,2,1.16E+01,1.00E+01,*
87,UHA-0129,8,5.81E-03,8.99E-05,UHA-0010,9,8,0,5.46E+00,UHA-0259,9,8,1,6.17E-01,0.00E+00,,8,1,4.13E+00,3.86E+00,*
88,UHA-0130,9,5.74E-04,2.75E-04,UHA-0010,9,9,1,2.83E+00,UHA-0259,9,9,1,3.34E+00,1.14E+00,-,9,2,5.44E+00,5.44E+00,*
89,UHA-0131,9,1.83E-04,8.28E-06,UHA-0010,9,9,1,2.11E+00,UHA-0263,9,9,0,7.67E+00,5.59E+00,*,9,5,-8.62E+00,0.00E+00,
90,UHA-0132,9,2.11E-05,1.95E-06,UHA-0010,9,9,1,1.67E+00,UHA-0263,9,9,1,4.63E+00,4.63E+00,*,9,4,-3.17E+00,0.00E+00,
91,UHA-0133,9,4.39E-03,9.15E-04,UHA-0010,9,9,0,9.24E+00,UHA-0015,9,9,0,4.81E+00,0.00E+00,,9,0,7.07E+00,2.60E-03,-
