Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0096,7,UHA-0015,9,7,0, 3.78658490846122E+0000,UHA-0266,9,7,0, 5.64532912636087E+0000, 1.72869165814547E+0000,+,7,0, 7.55600108229524E+0000, 7.55600108229524E+0000,*,
UHA-0097,8,UHA-0015,9,8,1, 2.81310825819171E+0000,UHA-0266,9,8,0, 8.61727067627115E+0000, 4.00567397706965E+0000,*,8,1, 1.03439169299178E+0001, 9.03282260332541E+0000,*,
UHA-0098,9,UHA-0257,9,9,1, 8.86247749818890E-0001,UHA-0260,9,9,1, 4.19466548460521E+0000, 3.80621031163267E+0000,+,9,1, 1.12947889820565E+0001, 1.12947889820565E+0001,*,
UHA-0099,9,UHA-0257,9,9,0, 7.56976228717129E+0000,UHA-0258,9,9,3,-5.24487704208342E+0000, 0.00000000000000E+0000,,9,3,-4.66146479149539E+0000, 0.00000000000000E+0000,,
UHA-0100,9,UHA-0257,9,9,0, 9.23684457547025E+0000,UHA-0256,9,9,3,-6.93278246835106E+0000, 0.00000000000000E+0000,,9,3,-6.33398057267877E+0000, 0.00000000000000E+0000,,
UHA-0101,9,UHA-0257,9,9,2,-3.41171538904594E+0000,UHA-0260,9,9,1, 9.90798341618312E-0001, 9.90798341618312E-0001,-,9,2, 7.12202002293056E+0000, 7.12202002293056E+0000,*,
UHA-0102,9,UHA-0257,9,9,1, 1.63065648352453E+0000,UHA-0351,9,9,0, 1.13181275712251E+0001, 1.13181275712251E+0001,*,9,2, 8.81351596973448E+0000, 8.81351596973448E+0000,*,
UHA-0103,9,UHA-0257,9,9,3,-9.34492625558373E+0000,UHA-0260,9,9,2,-3.60953442560635E+0000, 0.00000000000000E+0000,,9,4, 2.36864973870296E+0000, 2.36864973870296E+0000,+,
UHA-0105,9,UHA-0257,9,9,0, 1.00376747147104E+0001,UHA-0258,9,9,3,-6.25749099252177E+0000, 0.00000000000000E+0000,,9,3,-5.76708726379881E+0000, 0.00000000000000E+0000,,
UHA-0106,9,UHA-0257,9,9,2,-2.41536861838379E+0000,UHA-0260,9,9,1, 6.96427942789598E-0001, 1.98804785181912E-0001,-,9,2, 6.36102283820757E+0000, 4.86213172408788E+0000,*,
UHA-0109,9,UHA-0257,9,9,1, 1.37679778816276E+0000,UHA-0261,9,9,1, 3.50822444867329E+0000, 3.50822444867329E+0000,+,9,3, 2.22926548184687E+0000, 2.22926548184687E+0000,+,
UHA-0110,9,UHA-0257,9,9,0, 9.15502428735712E+0000,UHA-0351,9,9,2,-3.30759497138128E+0000, 0.00000000000000E+0000,,9,3,-6.47181797916413E+0000, 0.00000000000000E+0000,,
UHA-0111,9,UHA-0257,9,9,0, 1.00129706552323E+0001,UHA-0351,9,9,1, 1.72730437573520E+0000, 1.72730437573520E+0000,+,9,1, 4.95772094163944E+0000, 4.95772094163944E+0000,*,
UHA-0112,9,UHA-0257,9,9,5,-1.69188623610683E+0001,UHA-0265,9,9,0, 1.17006734664270E+0001, 2.56640381326313E+0000,+,9,5, 9.58698144064261E+0000, 3.14201260662733E+0000,+,
UHA-0113,9,UHA-0257,9,9,1, 2.30989882706173E+0000,UHA-0260,9,9,2,-4.15958780435049E+0000, 0.00000000000000E+0000,,9,2, 1.13691877042662E+0000, 1.13691877042662E+0000,+,
UHA-0114,9,UHA-0257,9,9,2,-3.04216239932677E+0000,UHA-0260,9,9,3,-5.97425294210037E+0000, 0.00000000000000E+0000,,9,4, 1.40392043497586E-0001, 1.40392043497586E-0001,-,
UHA-0115,9,UHA-0351,9,9,0, 8.41342563880291E+0000,UHA-0303,9,9,3,-6.68114672242465E+0000, 0.00000000000000E+0000,,9,3,-5.04912511581416E+0000, 0.00000000000000E+0000,,
UHA-0116,9,UHA-0351,9,9,1, 3.44873555772274E+0000,UHA-0260,9,9,1, 4.88214391444809E+0000, 4.88214391444809E+0000,*,9,2, 6.91480518887545E+0000, 6.91480518887545E+0000,*,
UHA-0118,9,UHA-0351,9,9,0, 9.70569793325034E+0000,UHA-0260,9,9,1, 2.93517844572842E+0000, 0.00000000000000E+0000,,9,1, 5.66647390293331E+0000, 2.74323947152362E+0000,+,
UHA-0119,9,UHA-0351,9,9,0, 9.01207124075179E+0000,UHA-0257,9,9,2,-6.84666909198741E-0001, 0.00000000000000E+0000,,9,2,-5.69554743777462E-0001, 0.00000000000000E+0000,,
UHA-0120,9,UHA-0351,9,9,0, 1.00036547113799E+0001,UHA-0257,9,9,2,-2.27976383775640E+0000, 0.00000000000000E+0000,,9,3,-5.36247289801061E+0000, 0.00000000000000E+0000,,
UHA-0121,9,UHA-0351,9,9,0, 1.18019456418562E+0001,UHA-0407,9,9,2,-7.81041850927124E-0001, 0.00000000000000E+0000,,9,2, 2.57961739166636E-0001, 2.57961739166636E-0001,-,
UHA-0122,9,UHA-0351,9,9,0, 1.19331741290285E+0001,UHA-0407,9,9,2,-7.81041850927124E-0001, 0.00000000000000E+0000,,9,2, 2.07261171541914E-0001, 2.07261171541914E-0001,-,
UHA-0123,9,UHA-0010,9,9,1, 3.10473277101904E+0000,UHA-0258,9,9,2,-8.64105720826747E-0001, 0.00000000000000E+0000,,9,2, 2.60825156722298E+0000, 1.11957006152251E+0000,+,
UHA-0124,8,UHA-0010,9,8,0, 5.65684325671899E+0000,UHA-0258,9,8,1, 1.11471392355836E+0000, 1.60833237526817E-0001,-,8,1, 2.94114639759509E+0000, 1.82808336847906E+0000,+,
UHA-0125,9,UHA-0010,9,9,1, 3.00695461729351E+0000,UHA-0016,8,8,2,-5.14429357866551E+0000, 0.00000000000000E+0000,,8,3,-4.56293396189545E+0000, 0.00000000000000E+0000,,
