Tissue_ID,MT_ID,Accession_Number,PO,Species,Date,Longitude,Latitude,DBH_avg,DBH1,DBH2,DBH3,DBH4,Notes
UHA-0267,,704-46*9,P,Quercus muehlenbergii,5/31/2023,-88.068212,41.816799,70.1,70.1,0,0,0,"Old Bad coords: (41.813953, -88.066639)"
UHA-0268,,120-2001*2,P,Quercus prinoides,9/1/2023,-88.063133,41.813314,8.433333333,13.2,5.3,6.8,0,"One main trunk, two larger branches. Dwarf tree"
UHA-0269,,120-2001*3,P,Quercus prinoides,9/1/2023,-88.063184,41.813308,12.25,16.4,8.1,0,0,"One main trunk, one larger branch. Dwarf tree"
UHA-0270,,365-2007*1,P,Quercus prinoides,9/1/2023,-88.062577,41.814501,5.7,5.7,0,0,0,"Dwarf, measured 6 in from ground"
UHA-0271,,365-2007*5,P,Quercus prinoides,9/1/2023,-88.062582,41.814539,5.7,5.7,0,0,0,"Dwarf, measured 6 in from ground"
UHA-0272,,365-2007*6,P,Quercus prinoides,9/1/2023,-88.062539,41.814551,4.5,4.5,3.1,0,0,"Dwarf, measured 6 in from ground"
UHA-0273,,563-32*1,P,Quercus robur,5/31/2023,-88.068934,41.816519,49.925,78.05,21.8,0,0,"Big branch right at the level of the DBH, averaged the measurements above (76.3) and below (79.8) breast hieght"
UHA-0276,,479-2001*1,P,Quercus stellata,9/1/2023,-88.062894,41.815127,26.1,26.1,0,0,0,
UHA-0277,,479-2001*2,P,Quercus stellata,9/1/2023,-88.062878,41.815243,22.2,22.2,0,0,0,
UHA-0278,,479-2001*3,P,Quercus stellata,9/1/2023,-88.062778,41.815141,15.65,23,8.3,0,0,
UHA-0281,,NA,P,Quercus macrocarpa,5/31/2023,-88.0649961,41.8175442,89.1,89.1,0,0,0,"Old coordinates: (41.8173828,-88.0649243)"
UHA-0282,,NA,P,Quercus macrocarpa,5/31/2023,-88.0650209,41.8177066,90.4,90.4,0,0,0,
UHA-0284,,NA,P,Quercus macrocarpa,5/31/2023,-88.06558142,41.81742825,102,102,0,0,0,
UHA-0285,,NA,P,Quercus macrocarpa,5/31/2023,-88.06560829,41.81749585,69.9,69.9,0,0,0,
UHA-0287,,NA,P,Quercus macrocarpa,5/31/2023,-88.06579826,41.81764784,64.8,64.8,0,0,0,
UHA-0288,,NA,P,Quercus macrocarpa,5/31/2023,-88.06577984,41.81780834,76.4,76.4,0,0,0,
UHA-0292,,NA,P,Quercus alba,7/12/2024,-88.0642045,41.813201,89.3,89.3,0,0,0,Originally too tall to sample
UHA-0293,,NA,P,Quercus alba,7/12/2024,-88.0641549,41.8132325,74.6,74.6,0,0,0,Originally too tall to sample
UHA-0295,,NA,P,Quercus macrocarpa,6/1/2023,-88.06459,41.81353,74,74,0,0,0,
UHA-0299,,NA,P,Quercus macrocarpa,6/7/2023,-88.064494,41.813903,73.5,73.5,0,0,0,
UHA-0300,,NA,P,Quercus alba,6/7/2023,-88.0643,41.813909,71.3,71.3,0,0,0,
UHA-0301,,NA,P,Quercus macrocarpa,6/7/2023,-88.06422,41.813675,61.43333333,71.3,54.3,58.7,0,Three main trunks
UHA-0302,,NA,P,Quercus macrocarpa,6/7/2023,-88.0638575,41.8136948,80.4,80.4,0,0,0,"Old coords: (41.81362,-88.0638)"
UHA-0303,,NA,P,Quercus macrocarpa,6/7/2023,-88.0638,41.813691,112.4,112.4,0,0,0,
UHA-0305,,NA,P,Quercus macrocarpa,6/7/2023,-88.06401,41.813752,65.7,65.7,0,0,0,
UHA-0306,,NA,P,Quercus macrocarpa,6/7/2023,-88.06395,41.813922,83.5,83.5,0,0,0,
UHA-0307,,NA,P,Quercus macrocarpa,6/7/2023,-88.06395,41.813945,58,58,0,0,0,
UHA-0308,,NA,P,Quercus macrocarpa,6/7/2023,-88.06395,41.813866,33.6,33.6,0,0,0,
UHA-0309,,NA,P,Quercus macrocarpa,6/7/2023,-88.06402,41.813894,54.8,54.8,0,0,0,
UHA-0311,,NA,P,Quercus alba,6/7/2023,-88.0637934,41.8139644,51.6,51.6,0,0,0,"Old coords: (41.813932,-88.06376)"
UHA-0312,,NA,P,Quercus macrocarpa,6/7/2023,-88.0637,41.813737,82.1,82.1,0,0,0,
UHA-0313,,NA,P,Quercus macrocarpa,6/7/2023,-88.06341939,41.8136972,64.95,73.2,56.7,0,0,
UHA-0314,,NA,P,Quercus alba,6/7/2023,-88.06374,41.813847,96.4,96.4,0,0,0,
UHA-0315,,NA,P,Quercus macrocarpa,6/7/2023,-88.0636,41.813918,124,124,0,0,0,
UHA-0317,,NA,P,Quercus macrocarpa,6/7/2023,-88.06372,41.814205,79.9,79.9,0,0,0,
UHA-0318,,NA,P,Quercus macrocarpa,6/7/2023,-88.0646245,41.8141471,108.5,108.5,0,0,0,"Old coords: (41.814211,-88.06364)"
UHA-0319,,NA,P,Quercus alba,6/7/2023,-88.06345,41.814117,55.3,55.3,0,0,0,
UHA-0320,,NA,P,Quercus alba,6/7/2023,-88.06344,41.814103,70,70,0,0,0,
UHA-0321,,NA,P,Quercus macrocarpa,6/7/2023,-88.06338,41.814086,101.2,101.2,0,0,0,
UHA-0322,,NA,P,Quercus macrocarpa,6/7/2023,-88.06337,41.81395,108.1,108.1,0,0,0,
UHA-0323,,NA,P,Quercus alba,6/7/2023,-88.06326915,41.813979,49.4,52.6,46.2,0,0,
UHA-0328,,NA,P,Quercus macrocarpa,6/7/2023,-88.06316,41.813579,69.7,77.3,62.1,0,0,
UHA-0329,,NA,P,Quercus alba,6/7/2023,-88.063,41.813551,43.15,45.7,40.6,0,0,
UHA-0330,,NA,P,Quercus macrocarpa,6/7/2023,-88.063,41.813547,63.8,63.8,0,0,0,
UHA-0331,,NA,P,Quercus alba,6/7/2023,-88.06296,41.813562,55,55,0,0,0,
UHA-0332,,NA,P,Quercus macrocarpa,6/7/2023,-88.063,41.813641,66.7,66.7,0,0,0,
UHA-0333,,NA,P,Quercus alba,6/7/2023,-88.06308,41.813999,99.3,99.3,0,0,0,
UHA-0334,,NA,P,Quercus macrocarpa,6/7/2023,-88.06283,41.81392,93.9,93.9,0,0,0,
UHA-0335,,NA,P,Quercus macrocarpa,6/7/2023,-88.06291,41.813803,117.4,117.4,0,0,0,
UHA-0337,,NA,P,Quercus macrocarpa,6/8/2023,-88.06571,41.816617,89.6,89.6,0,0,0,
UHA-0338,,NA,P,Quercus alba,6/8/2023,-88.06609,41.817023,87.8,87.8,0,0,0,"2 more trees here in a cluster, had to re-sample from UHA-0338 to include the two other trees."
UHA-0339,,NA,P,Quercus alba,6/8/2023,-88.06616,41.817179,91.9,91.9,0,0,0,
UHA-0340,,NA,P,Quercus macrocarpa,6/8/2023,-88.06613,41.817527,91.5,91.5,0,0,0,
UHA-0343,,NA,P,Quercus alba,6/8/2023,-88.06582,41.817477,85.6,85.6,0,0,0,
UHA-0344,,NA,P,Quercus macrocarpa,9/14/2023,-88.05994208,41.81375691,76.8,76.8,0,0,0,
UHA-0345,,NA,P,Quercus macrocarpa,6/8/2023,-88.06521,41.8166,76.6,76.6,0,0,0,
UHA-0346,,NA,P,Quercus macrocarpa,6/8/2023,-88.06532,41.816887,75.8,75.8,0,0,0,
UHA-0349,,NA,P,Quercus macrocarpa,6/8/2023,-88.06503,41.817183,71.4,71.4,0,0,0,
UHA-0350,,NA,P,Quercus alba,6/8/2023,-88.06501,41.816957,81.1,81.1,0,0,0,
UHA-0351,MT11,549-82*5,P,Quercus muehlenbergii,5/6/2024,-88.065622,41.814004,49.1,49.1,0,0,0,
UHA-0352,,NA,P,Quercus alba,6/8/2023,-88.0647,41.816869,58.3,58.3,0,0,0,"Two others near this one, come back to it"
UHA-0353,,NA,P,Quercus macrocarpa,6/8/2023,-88.06464,41.816713,86.5,86.5,0,0,0,
UHA-0354,,NA,P,Quercus macrocarpa,6/8/2023,-88.06459,41.816609,75.8,75.8,0,0,0,
UHA-0355,,NA,P,Quercus macrocarpa,6/8/2023,-88.06451,41.81648,83.9,83.9,0,0,0,
UHA-0357,,NA,P,Quercus macrocarpa,6/8/2023,-88.06454,41.816754,56.2,56.2,0,0,0,
UHA-0358,,NA,P,Quercus macrocarpa,6/8/2023,-88.06445,41.816729,21.3,21.3,0,0,0,
UHA-0359,,NA,P,Quercus macrocarpa,6/8/2023,-88.06443,41.816754,52,52,0,0,0,
UHA-0361,,NA,P,Quercus alba,6/8/2023,-88.0643,41.816827,74.3,74.3,0,0,0,"Better coordinates: (41.8168108, -88.0642447)"
UHA-0362,,NA,P,Quercus macrocarpa,6/8/2023,-88.06424,41.81692,66.2,66.2,0,0,0,
