Tissue ID,Accession_Number,PO,Species,Date of Collection,Longitude,Latitude,DBH_avg,DBH1,DBH2,DBH3,DBH4,Notes
UHA-0119,549-82*5-0005,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0120,549-82*5-0006,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0121,549-82*5-0007,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0122,549-82*5-0008,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0123,704-46*8-0001,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0124,704-46*8-0002,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0125,704-46*8-0003,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0126,704-46*8-0004,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0127,704-46*8-0005,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0128,704-46*8-0006,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0129,704-46*8-0007,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0130,704-46*8-0008,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0131,704-46*8-0009,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0132,704-46*8-0010,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0133,704-46*8-0011,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0134,704-46*8-0012,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0135,704-46*8-0013,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0136,704-46*8-0014,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0137,704-46*8-0015,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0138,704-46*8-0016,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0139,704-46*8-0017,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0140,704-46*8-0018,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0141,704-46*8-0019,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0142,704-46*8-0020,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0143,704-46*8-0021,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0144,704-46*8-0022,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0145,704-46*8-0023,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0146,704-46*8-0024,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0147,704-46*8-0025,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0148,704-46*1-0001,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0149,704-46*1-0002,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0150,704-46*1-0003,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0151,704-46*1-0004,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0152,704-46*1-0005,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0153,704-46*1-0006,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0154,704-46*1-0007,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0155,704-46*1-0008,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0156,704-46*1-0009,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0157,704-46*1-0010,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0158,704-46*1-0011,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0159,704-46*1-0012,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0160,704-46*1-0013,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0161,704-46*1-0014,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0162,704-46*1-0015,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0163,704-46*1-0016,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0164,704-46*14-0001,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0165,704-46*14-0002,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0166,704-46*6-0001,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0167,704-46*6-0002,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0168,704-46*6-0003,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0169,704-46*6-0004,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0170,704-46*6-0005,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0171,549-82*5-0009,O,Quercus muehlenbergii,NA,NA,NA,0,0,0,0,0,
UHA-0172,NA,P,Quercus x humidicola,9/1/23,-88.06630278,41.81127634,52.8,52.8,0,0,0,
UHA-0173,NA,P,Quercus x humidicola,9/1/23,-88.06641166,41.81106623,26.46666667,29.1,23.8,26.5,0,"I had a hard time finding this one, I think it might be a red oak, but it was closest to the coordinates. It is my best guess for what tree this was with no accession information."
UHA-0174,NA,P,Quercus macrocarpa,9/1/23,-88.0668092,41.8109505,49.4,49.4,0,0,0,
UHA-0175,NA,P,Quercus macrocarpa,9/1/23,-88.06674185,41.81093655,40.4,40.4,0,0,0,
UHA-0176,NA,P,Quercus x humidicola,9/1/23,-88.0663978,41.8109425,37,37,0,0,0,
UHA-0177,NA,P,Quercus macrocarpa,9/1/23,-88.06620011,41.8109599,33.3,33.3,0,0,0,
UHA-0178,NA,P,Quercus macrocarpa,9/1/23,-88.06612306,41.81090792,40.5,40.5,0,0,0,
UHA-0179,NA,P,Quercus macrocarpa,9/1/23,-88.06617062,41.81120789,69.2,69.2,0,0,0,
UHA-0180,NA,P,Quercus macrocarpa,9/14/23,-88.06016294,41.81331623,73.6,73.6,0,0,0,
UHA-0181,NA,P,Quercus macrocarpa,9/14/23,-88.05990421,41.81349473,90.9,90.9,0,0,0,
UHA-0182,NA,P,Quercus macrocarpa,9/14/23,-88.0599728,41.8137023,75.1,75.1,0,0,0,
UHA-0183,1277-2004*1,P,Quercus alba,06/01,-88.069844,41.813993,27.3,27.3,0,0,0,
UHA-0184,1277-2004*3,P,Quercus alba,06/07,-88.069869,41.814047,29.8,29.8,0,0,0,
UHA-0185,134-U*1,P,Quercus alba,,,,0,0,0,0,0,"Not found, original coords: (41.818153, -88.065154)"
