"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0077","UHA-0014","UHA-0224","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus macrocarpa",-88.068949,41.813826,"1279-2004*2",33.8,NA,NA,NA,FALSE,"704-46","1279-2",535.330238976398,TRUE
"UHA-0079","UHA-0014","UHA-0267","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.068212,41.816799,"704-46*9",70.1,NA,NA,NA,TRUE,"704-46","704-46",705.453533061191,FALSE
"UHA-0080","UHA-0014","UHA-0265","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063121,41.811813,"704-46*16",52.5,NA,NA,NA,TRUE,"704-46","704-46",14.9590685740559,FALSE
"UHA-0081","UHA-0014","UHA-0013","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.06758,41.815615,"704-46*6",64.6,NA,NA,NA,TRUE,"704-46","704-46",569.547995997515,FALSE
"UHA-0088","UHA-0014","UHA-0262","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.064,41.811708,"704-46*10",58.5,NA,NA,NA,TRUE,"704-46","704-46",68.434531179392,FALSE
"UHA-0089","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0090","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0091","UHA-0014","UHA-0266","Quercus muehlenbergii",-88.063177,41.811685,"704-46*13","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0093","UHA-0015","UHA-0265","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063121,41.811813,"704-46*16",52.5,NA,NA,NA,TRUE,"704-46","704-46",19.3495616125236,FALSE
"UHA-0094","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",19.4097192973039,FALSE
"UHA-0095","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",19.4097192973039,FALSE
