"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","DBH_avg","dist.x","relate_coef.x","dist.y","relate_coef.y","comp_status","dist_par","Hybrid_Status"
"UHA-0116","UHA-0351","UHA-0260","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",66.6,NA,NA,0.0614704,0.044718,4,61.6013448946619,FALSE
"UHA-0118","UHA-0351","UHA-0260","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",66.6,NA,NA,0.0614704,0.044718,4,61.6013448946619,FALSE
"UHA-0119","UHA-0351","UHA-0257","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",TRUE,"549-82","549-82",68.2,NA,NA,0.0128352,0.239369,2,12.8643209565563,FALSE
"UHA-0121","UHA-0351","UHA-0257","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",TRUE,"549-82","549-82",68.2,NA,NA,0.0128352,0.239369,2,12.8643209565563,FALSE
"UHA-0122","UHA-0351","UHA-0257","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",TRUE,"549-82","549-82",68.2,NA,NA,0.0128352,0.239369,2,12.8643209565563,FALSE
"UHA-0123","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",39.2,0.304392,0.028834,NA,NA,4,304.266359030868,FALSE
"UHA-0124","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",39.2,0.304392,0.028834,NA,NA,4,304.266359030868,FALSE
"UHA-0126","UHA-0010","UHA-0266","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.63024,0.15154,NA,NA,2,630.247578471618,FALSE
"UHA-0127","UHA-0010","UHA-0015","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12",TRUE,"704-46","704-46",55.2,0.644912,0.357323,NA,NA,1,644.875357093583,FALSE
"UHA-0129","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",39.2,0.304392,0.028834,NA,NA,4,304.266359030868,FALSE
"UHA-0130","UHA-0010","UHA-0016","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063069,41.811735,"704-46*14",TRUE,"704-46","704-46",46.2,0.647216,0.587423,NA,NA,1,647.236699502281,FALSE
"UHA-0132","UHA-0010","UHA-0263","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063389,41.811663,"704-46*11",TRUE,"704-46","704-46",61.1,0.639667,0.37729,NA,NA,1,639.597044707787,FALSE
"UHA-0133","UHA-0010","UHA-0015","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12",TRUE,"704-46","704-46",55.2,0.644912,0.357323,NA,NA,1,644.875357093583,FALSE
"UHA-0134","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",39.2,0.304392,0.028834,NA,NA,4,304.266359030868,FALSE
"UHA-0135","UHA-0010","UHA-0257","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",68.2,0.312942,0.072743,NA,NA,4,312.811867693626,FALSE
"UHA-0137","UHA-0010","UHA-0015","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12",TRUE,"704-46","704-46",55.2,0.644912,0.357323,NA,NA,1,644.875357093583,FALSE
"UHA-0138","UHA-0010","UHA-0293","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus alba",-88.0641549,41.8132325,NA,NA,"704-46",NA,74.6,0.459125,-0.200336,NA,NA,NA,459.202841610982,TRUE
"UHA-0139","UHA-0010","UHA-0260","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",66.6,0.320874,0.327827,NA,NA,3,320.609176296008,FALSE
"UHA-0141","UHA-0010","UHA-0257","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",68.2,0.312942,0.072743,NA,NA,4,312.811867693626,FALSE
"UHA-0144","UHA-0010","UHA-0265","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",52.5,0.637612,0.590241,NA,NA,1,637.63705868461,FALSE
"UHA-0146","UHA-0010","UHA-0015","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12",TRUE,"704-46","704-46",55.2,0.644912,0.357323,NA,NA,1,644.875357093583,FALSE
"UHA-0147","UHA-0010","UHA-0269","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus prinoides",-88.063184,41.813308,"120-2001*3",FALSE,"704-46","120-20",12.25,0.504537,-0.095645,NA,NA,4,504.879644164284,TRUE
"UHA-0148","UHA-0012","UHA-0476","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.0714096,41.8145509,"122-88*1",FALSE,"704-46","122-88",52.95,0.545167,0.240653,NA,NA,4,545.628375494699,FALSE
"UHA-0150","UHA-0012","UHA-0266","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.292233,0.293352,NA,NA,1,292.926668920982,FALSE
"UHA-0151","UHA-0012","UHA-0351","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"704-46","549-82",49.1,0.325001,0.066321,NA,NA,4,324.715679828922,FALSE
"UHA-0152","UHA-0012","UHA-0260","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",66.6,0.293082,0.148237,NA,NA,4,292.760264172469,FALSE
"UHA-0157","UHA-0012","UHA-0257","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",68.2,0.325744,-0.072931,NA,NA,4,325.435933133521,FALSE
"UHA-0158","UHA-0012","UHA-0339","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus alba",-88.06616,41.817179,NA,NA,"704-46",NA,91.9,0.668209,-0.127967,NA,NA,NA,667.465107291902,TRUE
"UHA-0159","UHA-0012","UHA-0260","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",66.6,0.293082,0.148237,NA,NA,4,292.760264172469,FALSE
"UHA-0161","UHA-0012","UHA-0011","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.068655,41.815796,"704-46*7",TRUE,"704-46","704-46",82.8,NA,NA,0.539938,0.29754,1,539.524799519856,FALSE
"UHA-0162","UHA-0012","UHA-0177","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus macrocarpa",-88.06620011,41.8109599,NA,NA,"704-46",NA,33.3,0.0434308,-0.086349,NA,NA,NA,43.4919758298184,TRUE
"UHA-0163","UHA-0012","UHA-0257","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",68.2,0.325744,-0.072931,NA,NA,4,325.435933133521,FALSE
"UHA-0164","UHA-0016","UHA-0264","Quercus muehlenbergii",-88.063069,41.811735,"704-46*14","Quercus muehlenbergii",-88.063301,41.811734,"704-46*15",TRUE,"704-46","704-46",46.9,0.0192279,0.61966,NA,NA,1,19.2782496310739,FALSE
"UHA-0165","UHA-0016","UHA-0266","Quercus muehlenbergii",-88.063069,41.811735,"704-46*14","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0174045,0.280635,NA,NA,1,17.4189098382475,FALSE
"UHA-0167","UHA-0013","UHA-0260","Quercus muehlenbergii",-88.06758,41.815615,"704-46*6","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",66.6,0.226968,0.317309,NA,NA,3,226.894363018014,FALSE
"UHA-0169","UHA-0013","UHA-0269","Quercus muehlenbergii",-88.06758,41.815615,"704-46*6","Quercus prinoides",-88.063184,41.813308,"120-2001*3",FALSE,"704-46","120-20",12.25,0.445569,-0.038285,NA,NA,4,446.182166819954,TRUE
"UHA-0428","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",34.65,0.0194302,0.26844,NA,NA,1,19.4097192973039,FALSE
"UHA-0431","UHA-0012","UHA-0512","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus macrocarpa",-88.0643909,41.8165587,NA,NA,"704-46",NA,56.1,0.626284,0.07415,NA,NA,NA,625.785057562173,TRUE
"UHA-0432","UHA-0012","UHA-0303","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus macrocarpa",-88.0638,41.813691,NA,NA,"704-46",NA,112.4,0.364808,-0.070853,NA,NA,NA,364.963087636013,TRUE
"UHA-0433","UHA-0012","UHA-0257","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",68.2,0.325744,-0.072931,NA,NA,4,325.435933133521,FALSE
"UHA-0437","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",39.2,0.304392,0.028834,NA,NA,4,304.266359030868,FALSE
"UHA-0439","UHA-0010","UHA-0260","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",66.6,0.320874,0.327827,NA,NA,3,320.609176296008,FALSE
"UHA-0440","UHA-0260","UHA-0351","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",49.1,0.0614704,0.044718,NA,NA,4,61.6013448946619,FALSE
"UHA-0441","UHA-0260","UHA-0261","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",TRUE,"570-78","570-78",50.6,0.0121008,0.344665,NA,NA,1,12.1070215511337,FALSE
"UHA-0442","UHA-0260","UHA-0010","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8",FALSE,"570-78","704-46",38.6,NA,NA,0.320874,0.327827,3,320.609176296008,FALSE
"UHA-0444","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0519982,0.060558,4,52.0859387345233,FALSE
"UHA-0445","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0519982,0.060558,4,52.0859387345233,FALSE
"UHA-0446","UHA-0260","UHA-0263","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.063389,41.811663,"704-46*11",FALSE,"570-78","704-46",61.1,0.339844,0.223597,NA,NA,4,340.108688848631,FALSE
"UHA-0447","UHA-0260","UHA-0512","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus macrocarpa",-88.0643909,41.8165587,NA,NA,"570-78",NA,56.1,0.345191,0.219435,NA,NA,NA,345.078011599381,TRUE
"UHA-0449","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0519982,0.060558,4,52.0859387345233,FALSE
"UHA-0452","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0519982,0.060558,4,52.0859387345233,FALSE
"UHA-0453","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0519982,0.060558,4,52.0859387345233,FALSE
"UHA-0459","UHA-0257","UHA-0351","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",TRUE,"549-82","549-82",49.1,0.0128352,0.239369,NA,NA,2,12.8643209565563,FALSE
