"rownames","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
85,"UHA-0133",9,0.00415,0.175,"UHA-0001",9,9,6,-13.4,"UHA-0265",9,9,0,6.26,0,"",9,6,5.54,1.16,"+"
86,"UHA-0134",9,0.000464,0.793,"UHA-0001",9,9,7,-15.6,"UHA-0265",9,9,0,6.97,3.02,"*",9,7,4.61,1.14,"+"
87,"UHA-0135",9,0.00136,0.0101,"UHA-0001",9,9,6,-14,"UHA-0257",9,9,1,2.59,0,"",9,7,2.58,0.555,"+"
88,"UHA-0136",9,0.000642,0.00042,"UHA-0001",9,9,3,-4.04,"UHA-0010",9,9,1,2.82,0,"",9,3,7.34,1.78,"+"
89,"UHA-0137",9,0.000861,0.0904,"UHA-0001",9,9,7,-16.4,"UHA-0263",9,9,0,7.03,1.61,"+",9,7,6.01,0.739,"+"
90,"UHA-0138",9,0.000252,0.0267,"UHA-0001",9,9,5,-9.4,"UHA-0010",9,9,0,7.07,1.53,"+",9,5,6.14,3.54,"*"
91,"UHA-0139",9,0.000168,0.294,"UHA-0001",9,9,6,-11.6,"UHA-0010",9,9,0,8.82,4.65,"*",9,6,6.52,3.02,"*"
92,"UHA-0140",9,7.07e-05,0.00218,"UHA-0001",9,9,5,-10.7,"UHA-0010",9,9,1,4.78,3.89,"*",9,6,3.82,1.37,"+"
93,"UHA-0141",9,0.00178,0.0489,"UHA-0001",9,9,6,-13.4,"UHA-0257",9,9,0,5.76,0,"",9,6,5.36,1.74,"+"
94,"UHA-0142",9,0.000496,0.0153,"UHA-0001",9,9,5,-9.53,"UHA-0010",9,9,0,7.23,7.23,"*",9,5,7.14,5.53,"*"
95,"UHA-0143",9,0.000332,0.000114,"UHA-0001",9,9,3,-4.04,"UHA-0010",9,9,1,4.15,4.15,"*",9,3,8.72,8.31,"*"
96,"UHA-0144",9,0.000631,0.00298,"UHA-0001",9,9,3,-3.91,"UHA-0265",9,9,0,8.79,1.59,"+",9,3,9.46,2.73,"*"
97,"UHA-0146",9,0.000222,0.246,"UHA-0001",9,9,7,-15.7,"UHA-0010",9,9,0,8.93,7.72,"*",9,7,6.82,4.14,"*"
98,"UHA-0147",9,0.000602,0.00657,"UHA-0001",9,9,4,-6.73,"UHA-0259",9,9,0,6.33,0,"",9,5,4.09,0.327,"+"
99,"UHA-0148",9,3.7e-05,0.00517,"UHA-0001",9,9,4,-5.66,"UHA-0476",9,9,0,11.2,4.7,"*",9,4,9.91,4.68,"*"
100,"UHA-0150",9,0.000362,0.0096,"UHA-0001",9,9,5,-10.2,"UHA-0266",9,9,0,10.1,2.07,"+",9,5,9.47,4.85,"*"
101,"UHA-0151",9,0.00044,0.129,"UHA-0001",9,9,6,-11.6,"UHA-0012",9,9,0,11.2,5.11,"*",9,6,8.62,4.11,"*"
102,"UHA-0152",9,0.000823,0.0233,"UHA-0001",9,9,7,-15.4,"UHA-0012",9,9,0,7.13,1.37,"+",9,8,3.9,0.823,"+"
103,"UHA-0153",9,8.46e-05,0.00659,"UHA-0001",9,9,5,-9.27,"UHA-0012",9,9,0,10.6,10.6,"*",9,7,4.17,0.0843,"+"
104,"UHA-0154",9,0.000153,0.971,"UHA-0001",9,9,8,-18.5,"UHA-0012",9,9,1,4.09,1.66,"+",9,8,3.61,1.37,"+"
105,"UHA-0155",9,0.00049,0.421,"UHA-0001",9,9,7,-16.2,"UHA-0012",9,9,0,8.78,7.96,"*",9,7,6.62,3.65,"*"
106,"UHA-0156",9,0.000123,0.971,"UHA-0001",9,9,8,-18.5,"UHA-0012",9,9,1,2.78,1.64,"+",9,8,2.74,0.992,"+"
107,"UHA-0157",9,0.00031,0.191,"UHA-0001",9,9,7,-15.3,"UHA-0012",9,9,0,9.13,5.09,"*",9,7,7.3,3.76,"*"
108,"UHA-0158",9,0.000299,0.0114,"UHA-0001",9,9,4,-6.83,"UHA-0012",9,9,0,7.2,6.77,"*",9,5,3.93,3.34,"*"
110,"UHA-0160",9,0.000277,0.421,"UHA-0001",9,9,7,-16.2,"UHA-0012",9,9,0,10.6,10.1,"*",9,7,8.06,5.4,"*"
111,"UHA-0161",9,0.000759,0.0231,"UHA-0001",9,9,7,-16.4,"UHA-0260",9,9,2,2.4,0,"",9,7,5.28,1.38,"+"
112,"UHA-0162",8,0.00187,0.0074,"UHA-0001",9,8,4,-8.07,"UHA-0012",9,8,0,6.59,0,"",8,4,6.76,2.35,"*"
113,"UHA-0163",9,0.000612,0.0343,"UHA-0001",9,9,5,-10.2,"UHA-0257",9,9,1,2.73,0,"",9,5,4.75,1.76,"+"
114,"UHA-0164",8,0.00189,0.052,"UHA-0001",9,8,5,-10.6,"UHA-0264",9,8,0,10.3,0.548,"-",8,5,8.64,3.89,"*"
115,"UHA-0165",9,0.000649,0.421,"UHA-0001",9,9,7,-16.2,"UHA-0224",9,9,0,7.22,1.1,"+",9,7,5.11,0.825,"+"
116,"UHA-0166",9,6.14e-05,0.199,"UHA-0001",9,9,8,-19.1,"UHA-0263",9,9,1,5.67,0,"",9,8,5.52,1.78,"+"
118,"UHA-0169",9,0.00189,0.000332,"UHA-0001",9,9,4,-6.88,"UHA-0269",9,9,0,10.6,5.82,"*",9,5,6.87,4.09,"*"
119,"UHA-0298",9,0.00131,0.0212,"UHA-0001",9,9,6,-12.9,"UHA-0351",9,9,0,12.6,12.1,"*",9,6,10.4,6.28,"*"
120,"UHA-0426",9,0.00121,0.00607,"UHA-0001",9,9,4,-7.37,"UHA-0009",9,9,0,8.01,2.11,"+",9,4,7.86,1.95,"+"
