"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0074","UHA-0014","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0076","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0100","UHA-0257","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0102","UHA-0257","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0106","UHA-0257","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0110","UHA-0257","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0036","UHA-0261","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0037","UHA-0261","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0038","UHA-0261","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0089","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0040","UHA-0261","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0041","UHA-0261","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0090","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0059","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0082","UHA-0014","UHA-0011",NA,NA,NA,NA,"Quercus muehlenbergii",-88.068655,41.815796,"704-46*7",82.8,NA,NA,NA,NA,NA,"704-46",NA,NA
"UHA-0083","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0084","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0085","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0086","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0087","UHA-0014","UHA-0262",NA,NA,NA,NA,"Quercus muehlenbergii",-88.064,41.811708,"704-46*10",58.5,NA,NA,NA,NA,NA,"704-46",NA,NA
"UHA-0088","UHA-0014","UHA-0262",NA,NA,NA,NA,"Quercus muehlenbergii",-88.064,41.811708,"704-46*10",58.5,NA,NA,NA,NA,NA,"704-46",NA,NA
"UHA-0091","UHA-0014","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0113","UHA-0257","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0114","UHA-0257","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0115","UHA-0351","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0116","UHA-0351","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0118","UHA-0351","UHA-0261",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",50.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0119","UHA-0351","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0120","UHA-0351","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0121","UHA-0351","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0122","UHA-0351","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0123","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0124","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0129","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0130","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0133","UHA-0010","UHA-0015",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063254,41.81167,"704-46*12",55.2,NA,NA,NA,NA,NA,"704-46",NA,NA
"UHA-0134","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0136","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0137","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0139","UHA-0010","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0141","UHA-0010","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0143","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0144","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0147","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0150","UHA-0012","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0162","UHA-0012","UHA-0177",NA,NA,NA,NA,"Quercus macrocarpa",-88.06620011,41.8109599,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA
"UHA-0163","UHA-0012","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0164","UHA-0016","UHA-0264",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063301,41.811734,"704-46*15",46.9,NA,NA,NA,NA,NA,"704-46",NA,NA
