Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0056,7,UHA-0260,8,7,0, 3.03680874957574E+0000,UHA-0257,8,7,1, 2.20156000859072E+0000, 0.00000000000000E+0000,,7,2, 1.22724485072233E+0000, 0.00000000000000E+0000,,
UHA-0056,7,UHA-0260,8,7,0, 3.03680874957574E+0000,UHA-0016,7,7,0, 3.06060213461950E+0000, 0.00000000000000E+0000,,7,2, 6.39901327313578E-0001, 0.00000000000000E+0000,,
UHA-0056,7,UHA-0260,8,7,0, 3.03680874957574E+0000,UHA-0284,8,7,2,-3.04789847012741E-0001, 0.00000000000000E+0000,,7,2, 5.31423254098189E-0001, 0.00000000000000E+0000,,
UHA-0068,8,UHA-0014,8,8,0, 4.17281455747013E+0000,UHA-0264,8,8,0, 5.06109088688954E+0000, 1.13192296394421E+0000,-,8,0, 7.16722110063457E+0000, 2.31843368669281E+0000,+,
UHA-0068,8,UHA-0014,8,8,0, 4.17281455747013E+0000,UHA-0016,7,7,0, 3.79514291069271E+0000, 0.00000000000000E+0000,,7,0, 4.84878741394177E+0000, 0.00000000000000E+0000,,
UHA-0068,8,UHA-0014,8,8,0, 4.17281455747013E+0000,UHA-0012,8,8,0, 3.63083552048521E+0000, 0.00000000000000E+0000,,8,2, 1.08717479645920E+0000, 0.00000000000000E+0000,,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0262,8,8,0, 7.63976357720432E+0000, 1.01969973558504E+0000,-,8,0, 7.52998969778436E+0000, 5.46390925599041E-0001,-,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0263,8,8,0, 6.62006384161929E+0000, 0.00000000000000E+0000,,8,0, 6.98359877218532E+0000, 0.00000000000000E+0000,,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0013,8,8,0, 5.60717410621870E+0000, 0.00000000000000E+0000,,8,0, 6.18531137984272E+0000, 0.00000000000000E+0000,,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0015,8,8,0, 3.69746719904249E+0000, 0.00000000000000E+0000,,8,0, 4.97279772412125E+0000, 0.00000000000000E+0000,,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0009,8,8,0, 3.50529112703694E+0000, 0.00000000000000E+0000,,8,0, 4.85792565805142E+0000, 0.00000000000000E+0000,,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0267,8,8,0, 5.99362971308255E+0000, 0.00000000000000E+0000,,8,1, 4.15056744125676E+0000, 0.00000000000000E+0000,,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0010,8,8,1, 1.20150160573733E+0000, 0.00000000000000E+0000,,8,1, 2.35438512573560E+0000, 0.00000000000000E+0000,,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0011,8,8,1, 8.77026120727857E-0001, 0.00000000000000E+0000,,8,1, 1.70526540952465E+0000, 0.00000000000000E+0000,,
UHA-0070,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0016,7,7,1, 1.07700952819507E-0003, 0.00000000000000E+0000,,7,1, 3.50817650244158E-0001, 0.00000000000000E+0000,,
UHA-0071,8,UHA-0014,8,8,0, 4.46597508691886E+0000,UHA-0266,8,8,0, 6.64887585593119E+0000, 2.11494349221644E+0000,-,8,0, 9.12559868339239E+0000, 8.79715029589659E+0000,*,
UHA-0071,8,UHA-0014,8,8,0, 4.46597508691886E+0000,UHA-0017,8,8,2, 1.78557660364772E+0000, 0.00000000000000E+0000,,8,3, 3.28448387495797E-0001, 0.00000000000000E+0000,,
UHA-0071,8,UHA-0014,8,8,0, 4.46597508691886E+0000,UHA-0229,8,8,2, 1.78557660364772E+0000, 0.00000000000000E+0000,,8,3, 3.28448387495797E-0001, 0.00000000000000E+0000,,
UHA-0075,8,UHA-0014,8,8,0, 6.43042427722852E+0000,UHA-0264,8,8,1, 1.08463216622928E+0000, 0.00000000000000E+0000,,8,1, 2.75303807480156E+0000, 6.72032470403097E-0001,-,
UHA-0075,8,UHA-0014,8,8,0, 6.43042427722852E+0000,UHA-0016,7,7,1, 4.49568196750364E-0001, 0.00000000000000E+0000,,7,1, 2.08100560439846E+0000, 0.00000000000000E+0000,,
UHA-0075,8,UHA-0014,8,8,0, 6.43042427722852E+0000,UHA-0256,8,8,2, 1.43399751250469E+0000, 0.00000000000000E+0000,,8,2, 1.68436402630062E+0000, 0.00000000000000E+0000,,
UHA-0075,8,UHA-0014,8,8,0, 6.43042427722852E+0000,UHA-0271,8,8,2, 5.72390841964317E-0001, 0.00000000000000E+0000,,8,2, 1.34608675290271E+0000, 0.00000000000000E+0000,,
UHA-0075,8,UHA-0014,8,8,0, 6.43042427722852E+0000,UHA-0012,8,8,2,-2.26933970379105E-0001, 0.00000000000000E+0000,,8,2, 8.01339380780580E-0002, 0.00000000000000E+0000,,
UHA-0077,8,UHA-0014,8,8,0, 6.28365831630594E+0000,UHA-0263,8,8,0, 6.72667258834685E+0000, 0.00000000000000E+0000,,8,1, 4.45809585214455E+0000, 1.58211143387147E+0000,-,
UHA-0077,8,UHA-0014,8,8,0, 6.28365831630594E+0000,UHA-0262,8,8,0, 7.29155837221056E+0000, 5.64885783863708E-0001,-,8,2, 2.87598441827308E+0000, 0.00000000000000E+0000,,
UHA-0077,8,UHA-0014,8,8,0, 6.28365831630594E+0000,UHA-0260,8,8,1, 4.97448471916074E-0001, 0.00000000000000E+0000,,8,1, 2.61716827542271E+0000, 0.00000000000000E+0000,,
UHA-0077,8,UHA-0014,8,8,0, 6.28365831630594E+0000,UHA-0016,7,7,1,-2.88110262618897E-0002, 0.00000000000000E+0000,,7,1, 1.17427367024611E+0000, 0.00000000000000E+0000,,
UHA-0077,8,UHA-0014,8,8,0, 6.28365831630594E+0000,UHA-0210,8,8,1, 1.94721562346288E+0000, 0.00000000000000E+0000,,8,2, 4.99752367501628E-0001, 0.00000000000000E+0000,,
UHA-0079,8,UHA-0014,8,8,0, 7.94887300841133E+0000,UHA-0267,8,8,0, 7.70522637388653E+0000, 2.02088208198283E-0001,-,8,0, 8.22680069397263E+0000, 6.45324089200837E-0001,-,
UHA-0079,8,UHA-0014,8,8,0, 7.94887300841133E+0000,UHA-0262,8,8,0, 7.50313816568825E+0000, 0.00000000000000E+0000,,8,0, 7.58147660477179E+0000, 0.00000000000000E+0000,,
UHA-0079,8,UHA-0014,8,8,0, 7.94887300841133E+0000,UHA-0013,8,8,0, 7.06373113204243E+0000, 0.00000000000000E+0000,,8,0, 7.56611971931301E+0000, 0.00000000000000E+0000,,
UHA-0079,8,UHA-0014,8,8,0, 7.94887300841133E+0000,UHA-0263,8,8,1, 4.47457810328844E+0000, 0.00000000000000E+0000,,8,1, 4.27843849298988E+0000, 0.00000000000000E+0000,,
UHA-0079,8,UHA-0014,8,8,0, 7.94887300841133E+0000,UHA-0009,8,8,2, 7.04308410690625E-0001, 0.00000000000000E+0000,,8,2, 1.61726945206111E-0001, 0.00000000000000E+0000,,
UHA-0080,8,UHA-0014,8,8,0, 5.34005874246384E+0000,UHA-0265,8,8,0, 7.10998103770466E+0000, 1.15891758411055E+0000,-,8,0, 9.08646772538155E+0000, 7.30928467478204E+0000,*,
UHA-0080,8,UHA-0014,8,8,0, 5.34005874246384E+0000,UHA-0175,8,8,2, 6.70435382687436E-0001, 0.00000000000000E+0000,,8,2, 1.77718305059951E+0000, 0.00000000000000E+0000,,
UHA-0080,8,UHA-0014,8,8,0, 5.34005874246384E+0000,UHA-0347,8,8,2,-1.44316889175900E-0001, 0.00000000000000E+0000,,8,2, 1.21371375428022E+0000, 0.00000000000000E+0000,,
UHA-0080,8,UHA-0014,8,8,0, 5.34005874246384E+0000,UHA-0016,7,7,1, 2.01414287196621E+0000, 0.00000000000000E+0000,,7,2, 7.09705481981139E-0001, 0.00000000000000E+0000,,
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0262,8,8,0, 7.63976357720432E+0000, 1.01969973558504E+0000,-,8,0, 7.52998969778436E+0000, 5.46390925599041E-0001,-,
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0263,8,8,0, 6.62006384161929E+0000, 0.00000000000000E+0000,,8,0, 6.98359877218532E+0000, 0.00000000000000E+0000,,
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0013,8,8,0, 5.60717410621870E+0000, 0.00000000000000E+0000,,8,0, 6.18531137984272E+0000, 0.00000000000000E+0000,,
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0015,8,8,0, 3.69746719904249E+0000, 0.00000000000000E+0000,,8,0, 4.97279772412125E+0000, 0.00000000000000E+0000,,
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0009,8,8,0, 3.50529112703694E+0000, 0.00000000000000E+0000,,8,0, 4.85792565805142E+0000, 0.00000000000000E+0000,,
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0267,8,8,0, 5.99362971308255E+0000, 0.00000000000000E+0000,,8,1, 4.15056744125676E+0000, 0.00000000000000E+0000,,
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0010,8,8,1, 1.20150160573733E+0000, 0.00000000000000E+0000,,8,1, 2.35438512573560E+0000, 0.00000000000000E+0000,,
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0011,8,8,1, 8.77026120727857E-0001, 0.00000000000000E+0000,,8,1, 1.70526540952465E+0000, 0.00000000000000E+0000,,
