13,417,2,155,262,,,,,,,,,,,,,,,,,,,,,,,
,,,O,UHA-0351,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,QS03797_1,QS03797_2,MSQ13_1,MSQ13_2,QrZAG20_1,QrZAG20_2,QS00314_1,QS00314_2,QpZAG9_1,QpZAG9_2,QS1904_1,QS1904_2,MSQ4_1,MSQ4_2,QpZAG110_1,QpZAG110_2,QS00562_1,QS00562_2,QpZAG119_1,QpZAG119_2,QrZAG87_1,QrZAG87_2,QpZAG1-5_1,QpZAG1-5_2,QM69-2M1_1,QM69-2M1_2
UHA-0084,O,4,3,13,13,1,12,3,5,19,12,2,2,4,11,2,2,2,2,19,29,4,4,9,9,6,12
UHA-0085,O,4,4,13,6,12,11,3,5,19,12,2,2,4,11,2,2,2,2,31,19,4,4,9,9,6,11
UHA-0086,O,4,4,13,6,12,11,3,5,19,12,2,2,4,11,2,2,2,2,31,19,4,4,9,9,10,11
UHA-0087,O,4,4,13,6,12,12,3,5,13,12,2,2,4,4,2,2,2,2,30,30,4,4,9,9,11,11
UHA-0088,O,3,3,13,13,13,13,3,5,12,14,2,2,4,4,2,2,2,2,30,19,4,4,9,9,6,12
UHA-0091,O,4,4,13,15,12,11,3,3,19,12,2,2,12,4,2,2,2,2,31,19,4,4,9,9,10,12
UHA-0113,O,3,3,13,14,1,13,5,5,15,19,2,2,7,9,2,2,2,2,23,19,4,4,8,3,6,6
UHA-0114,O,3,9,15,15,1,2,0,0,15,15,2,7,8,7,2,2,2,2,31,19,4,4,8,8,6,14
UHA-0115,O,3,3,6,14,5,10,3,3,15,15,2,2,4,11,0,0,2,2,31,26,4,4,8,6,6,6
UHA-0116,O,3,3,13,13,6,2,3,3,8,15,3,7,11,7,2,2,2,2,31,8,4,4,13,3,6,10
UHA-0118,O,3,2,6,6,12,10,3,5,8,15,2,3,12,11,2,2,2,2,31,16,4,4,8,8,6,6
UHA-0119,O,3,3,15,6,6,10,3,5,15,15,2,2,8,11,2,3,2,2,23,31,4,4,8,3,6,14
UHA-0120,O,3,3,13,15,10,10,5,5,15,19,2,3,8,11,2,2,2,2,31,31,4,4,3,3,10,14
UHA-0121,O,3,3,15,6,10,10,5,5,15,15,2,3,11,9,2,2,2,2,31,22,4,4,8,8,6,14
UHA-0122,O,3,3,15,6,6,10,3,5,15,15,2,3,11,9,3,1,2,2,31,22,4,4,8,3,6,14
UHA-0123,O,3,3,13,15,13,13,5,5,8,11,2,3,12,12,2,2,2,2,30,34,4,4,8,8,6,10
UHA-0124,O,3,3,13,15,13,6,3,5,8,11,2,2,12,12,2,2,2,2,0,0,4,4,8,13,6,10
UHA-0125,O,4,2,13,15,12,13,3,5,8,15,2,3,12,10,2,7,2,2,30,21,4,4,13,9,6,6
UHA-0128,O,3,3,13,15,13,6,5,5,13,14,2,2,4,4,0,0,2,3,30,34,4,4,8,6,10,12
UHA-0129,O,4,3,13,15,12,6,3,5,13,14,2,3,12,12,2,2,2,3,0,0,4,4,8,6,10,12
UHA-0130,O,4,4,13,15,12,13,3,5,13,11,2,3,3,11,2,2,2,3,30,34,4,4,8,8,6,10
UHA-0131,O,4,2,13,15,12,13,3,3,13,15,3,3,12,10,2,7,2,3,30,12,4,4,8,9,6,10
UHA-0132,O,4,2,13,6,12,13,3,5,13,15,3,3,12,7,2,2,2,3,12,12,4,4,8,9,10,11
UHA-0133,O,4,3,13,15,12,13,3,3,13,8,2,2,3,4,0,0,2,2,19,32,4,4,8,13,6,10
UHA-0134,O,3,3,13,15,13,13,5,5,13,11,2,2,4,4,2,2,0,0,34,32,4,4,8,8,6,10
UHA-0136,O,4,3,13,15,12,6,3,5,13,14,2,3,12,12,2,2,2,3,30,34,4,4,8,6,10,12
UHA-0137,O,4,4,13,15,12,13,3,5,13,11,2,3,12,4,2,2,2,3,30,34,4,4,8,8,6,12
UHA-0138,O,3,3,13,17,13,2,3,2,8,16,2,2,10,4,3,6,2,1,32,17,4,1,13,7,10,9
UHA-0139,O,3,3,13,13,13,2,3,5,8,8,2,2,3,7,2,2,2,2,19,32,4,4,13,13,6,10
UHA-0140,O,4,3,13,15,12,6,3,5,8,8,2,3,3,11,2,2,2,2,30,25,4,4,13,11,10,10
UHA-0141,O,4,3,13,14,1,12,3,4,8,15,2,2,3,8,3,1,2,2,23,32,4,4,8,13,6,10
UHA-0143,O,4,3,13,15,12,6,3,5,8,14,2,3,12,12,2,2,2,2,30,34,4,4,6,13,10,12
UHA-0144,O,3,3,13,15,13,13,5,5,13,14,2,3,3,4,2,2,2,3,32,32,4,4,8,6,6,12
UHA-0146,O,4,4,13,15,12,13,5,5,0,0,2,2,12,12,2,2,2,2,32,35,4,4,8,13,10,12
UHA-0147,O,3,3,13,15,13,6,5,5,8,11,2,2,3,11,2,2,0,0,34,32,4,4,8,13,10,12
UHA-0150,O,4,3,13,15,11,6,3,3,19,22,2,2,4,11,2,2,2,2,29,13,4,4,10,7,6,10
UHA-0162,O,4,3,13,14,11,11,3,2,13,9,2,2,0,0,2,5,2,2,30,8,4,11,9,7,6,9
UHA-0163,O,4,3,14,5,12,6,3,5,15,22,2,2,10,4,2,2,2,2,23,13,4,4,8,7,6,6
