Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0263,12,12,1, 4.76449669375534E+0000, 0.00000000000000E+0000,,12,1, 4.68848846758012E+0000, 0.00000000000000E+0000,,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0009,12,12,1, 1.92711545240646E+0000, 0.00000000000000E+0000,,12,1, 3.93214777132024E+0000, 0.00000000000000E+0000,,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0013,12,12,2, 1.59133080727388E+0000, 0.00000000000000E+0000,,12,2, 2.46308992400018E+0000, 0.00000000000000E+0000,,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0016,10,10,1, 7.57508037571966E-0002, 0.00000000000000E+0000,,10,1, 2.45926574198422E+0000, 0.00000000000000E+0000,,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0260,12,12,1, 2.97741348334469E+0000, 0.00000000000000E+0000,,12,2, 2.37496245213478E+0000, 0.00000000000000E+0000,,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0015,12,12,2, 1.12909069810939E+0000, 0.00000000000000E+0000,,12,2, 1.60959127039682E+0000, 0.00000000000000E+0000,,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0265,12,12,2, 9.05200995740163E-0001, 0.00000000000000E+0000,,12,2, 1.52264736974418E+0000, 0.00000000000000E+0000,,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0264,12,12,2,-3.13652092178683E-0001, 0.00000000000000E+0000,,12,2, 1.45678272727663E+0000, 0.00000000000000E+0000,,
UHA-0039,12, 2.80133807887836E-0003, 1.05994787232818E-0003,UHA-0261,12,12,0, 1.22442367662583E+0001,UHA-0267,12,12,3,-3.29954279182087E-0001, 0.00000000000000E+0000,,12,3, 2.58964194873522E-0002, 0.00000000000000E+0000,,
UHA-0043,10, 3.66590197540702E-0003, 6.26942852036736E-0005,UHA-0260,12,10,0, 5.11692777705250E+0000,UHA-0261,12,10,0, 5.52679868346343E+0000, 5.52679868346343E+0000,+,10,1, 6.58795864781687E+0000, 6.58795864781687E+0000,*,
UHA-0043,10, 3.66590197540702E-0003, 6.26942852036736E-0005,UHA-0260,12,10,0, 5.11692777705250E+0000,UHA-0270,12,10,2, 4.83674240412591E-0001, 0.00000000000000E+0000,,10,2, 2.01067199619472E+0000, 0.00000000000000E+0000,,
UHA-0045,12, 6.40630608836131E-0004, 1.58799510425371E-0004,UHA-0260,12,12,0, 1.14573199779021E+0001,UHA-0016,10,10,1, 1.43081761369961E+0000, 0.00000000000000E+0000,,10,2, 1.69823135191823E+0000, 1.69823135191823E+0000,-,
UHA-0045,12, 6.40630608836131E-0004, 1.58799510425371E-0004,UHA-0260,12,12,0, 1.14573199779021E+0001,UHA-0010,11,11,2, 1.45619524437299E+0000, 0.00000000000000E+0000,,11,2, 1.05809049797121E+0000, 0.00000000000000E+0000,,
UHA-0045,12, 6.40630608836131E-0004, 1.58799510425371E-0004,UHA-0260,12,12,0, 1.14573199779021E+0001,UHA-0264,12,12,2, 7.50528260916731E-0001, 0.00000000000000E+0000,,12,3, 6.51563328234809E-0001, 0.00000000000000E+0000,,
UHA-0047,12, 5.15362023417683E-0003, 1.15271777305866E-0004,UHA-0260,12,12,0, 8.35141341441577E+0000,UHA-0271,12,12,2, 1.19293772937143E+0000, 0.00000000000000E+0000,,12,2, 2.46544467555767E+0000, 2.46544467555767E+0000,-,
UHA-0047,12, 5.15362023417683E-0003, 1.15271777305866E-0004,UHA-0260,12,12,0, 8.35141341441577E+0000,UHA-0190,12,12,2, 1.69570426806508E+0000, 0.00000000000000E+0000,,12,3, 4.97139412844615E-0001, 0.00000000000000E+0000,,
UHA-0047,12, 5.15362023417683E-0003, 1.15271777305866E-0004,UHA-0260,12,12,0, 8.35141341441577E+0000,UHA-0256,10,10,3,-1.22937125546299E+0000, 0.00000000000000E+0000,,10,3, 4.01335011472328E-0001, 0.00000000000000E+0000,,
UHA-0052,12, 2.56750417199724E-0004, 2.14908314527964E-0006,UHA-0260,12,12,0, 1.36762280161490E+0001,UHA-0266,11,11,3, 2.42777690349989E-0001, 0.00000000000000E+0000,,11,3, 1.51905966637006E+0000, 1.51905966637006E+0000,-,
UHA-0056,11, 4.49038263093159E-0003, 2.32454653081376E-0004,UHA-0260,12,11,0, 5.19472280389524E+0000,UHA-0258,11,10,0, 7.65802766351828E+0000, 7.65802766351828E+0000,*,10,0, 9.25683577408783E+0000, 9.25683577408783E+0000,*,
UHA-0056,11, 4.49038263093159E-0003, 2.32454653081376E-0004,UHA-0260,12,11,0, 5.19472280389524E+0000,UHA-0257,12,11,1, 3.48928313631309E+0000, 0.00000000000000E+0000,,11,2, 1.98145181770083E+0000, 0.00000000000000E+0000,,
UHA-0068,11, 2.76848629694287E-0003, 7.07937549527250E-0005,UHA-0014,12,11,0, 5.23455206643631E+0000,UHA-0264,12,11,0, 7.36507840422358E+0000, 7.36507840422358E+0000,*,11,0, 9.52242757840557E+0000, 9.52242757840557E+0000,*,
UHA-0068,11, 2.76848629694287E-0003, 7.07937549527250E-0005,UHA-0014,12,11,0, 5.23455206643631E+0000,UHA-0016,10,10,0, 6.09913042802675E+0000, 0.00000000000000E+0000,,10,0, 7.20399389171276E+0000, 0.00000000000000E+0000,,
UHA-0068,11, 2.76848629694287E-0003, 7.07937549527250E-0005,UHA-0014,12,11,0, 5.23455206643631E+0000,UHA-0012,12,11,1, 2.88164554575120E+0000, 0.00000000000000E+0000,,11,3, 6.00359583548800E-0002, 0.00000000000000E+0000,,
UHA-0068,11, 2.76848629694287E-0003, 7.07937549527250E-0005,UHA-0014,12,11,0, 5.23455206643631E+0000,UHA-0011,12,11,1, 3.02420738304347E+0000, 0.00000000000000E+0000,,11,3, 3.05521973300193E-0002, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0262,12,12,0, 9.21571881300538E+0000, 9.21571881300538E+0000,*,12,0, 9.48385903363968E+0000, 9.48385903363968E+0000,*,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0263,12,12,0, 8.86142866208981E+0000, 0.00000000000000E+0000,,12,0, 8.98440441762420E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0013,12,12,0, 8.24458452196348E+0000, 0.00000000000000E+0000,,12,0, 8.23094873103521E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0009,12,12,0, 5.51840632413720E+0000, 0.00000000000000E+0000,,12,0, 6.25738923999378E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0267,12,12,0, 8.03580907608750E+0000, 0.00000000000000E+0000,,12,1, 5.60008562585137E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0015,12,12,1, 3.69370455392684E+0000, 0.00000000000000E+0000,,12,1, 3.98384016267264E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0011,12,12,1, 3.51443653647263E+0000, 0.00000000000000E+0000,,12,1, 3.75090276071714E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0010,11,11,1, 1.86719351942926E+0000, 0.00000000000000E+0000,,11,1, 2.73616181610252E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0016,10,10,1, 1.65804557123420E+0000, 0.00000000000000E+0000,,10,1, 1.37354521296258E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0265,12,12,1, 3.28988743220621E+0000, 0.00000000000000E+0000,,12,2, 1.06909051395719E+0000, 0.00000000000000E+0000,,
UHA-0070,12, 5.00082958376382E-0003, 1.96972779829239E-0003,UHA-0014,12,12,0, 8.74741199369409E+0000,UHA-0210,11,11,2, 5.47637693381880E-0001, 0.00000000000000E+0000,,11,2, 4.95541289883948E-0001, 0.00000000000000E+0000,,
UHA-0071,11, 2.22416686403334E-0003, 3.51710051126834E-0005,UHA-0014,12,11,0, 6.38638654279587E+0000,UHA-0266,11,11,0, 8.56928731180820E+0000, 8.56928731180820E+0000,*,11,0, 1.08546475994164E+0001, 1.08546475994164E+0001,*,
UHA-0071,11, 2.22416686403334E-0003, 3.51710051126834E-0005,UHA-0014,12,11,0, 6.38638654279587E+0000,UHA-0012,12,11,1, 2.67697338702799E+0000, 0.00000000000000E+0000,,11,3, 8.66379202704068E-0001, 0.00000000000000E+0000,,
UHA-0075,11, 1.18958057528812E-0003, 2.09649447866922E-0004,UHA-0014,12,11,0, 7.39282422853199E+0000,UHA-0264,12,11,2, 7.02328761036458E-0001, 0.00000000000000E+0000,,11,2, 2.58271797879723E+0000, 2.58271797879723E+0000,-,
UHA-0075,11, 1.18958057528812E-0003, 2.09649447866922E-0004,UHA-0014,12,11,0, 7.39282422853199E+0000,UHA-0256,10,9,2, 1.67150011094717E+0000, 0.00000000000000E+0000,,9,2, 1.91309800038730E+0000, 0.00000000000000E+0000,,
UHA-0075,11, 1.18958057528812E-0003, 2.09649447866922E-0004,UHA-0014,12,11,0, 7.39282422853199E+0000,UHA-0271,12,11,2, 9.10495574623274E-0001, 0.00000000000000E+0000,,11,2, 1.72736392637650E+0000, 0.00000000000000E+0000,,
UHA-0075,11, 1.18958057528812E-0003, 2.09649447866922E-0004,UHA-0014,12,11,0, 7.39282422853199E+0000,UHA-0012,12,11,2, 1.28899642969220E+0000, 0.00000000000000E+0000,,11,2, 1.63711469886104E+0000, 0.00000000000000E+0000,,
UHA-0075,11, 1.18958057528812E-0003, 2.09649447866922E-0004,UHA-0014,12,11,0, 7.39282422853199E+0000,UHA-0262,12,11,0, 7.50061983457675E+0000, 7.50061983457675E+0000,*,11,3, 1.07908568154499E+0000, 0.00000000000000E+0000,,
UHA-0075,11, 1.18958057528812E-0003, 2.09649447866922E-0004,UHA-0014,12,11,0, 7.39282422853199E+0000,UHA-0016,10,9,2,-9.13177062481233E-0001, 0.00000000000000E+0000,,9,2, 8.87775719920064E-0001, 0.00000000000000E+0000,,
UHA-0077,12, 2.80388643190018E-0003, 4.74147913172333E-0004,UHA-0014,12,12,0, 7.88804192185760E+0000,UHA-0263,12,12,0, 7.70739677140809E+0000, 0.00000000000000E+0000,,12,1, 5.85477643048325E+0000, 5.85477643048325E+0000,+,
UHA-0077,12, 2.80388643190018E-0003, 4.74147913172333E-0004,UHA-0014,12,12,0, 7.88804192185760E+0000,UHA-0262,12,12,0, 8.82581300403964E+0000, 8.82581300403964E+0000,*,12,2, 4.80219481467085E+0000, 0.00000000000000E+0000,,
UHA-0077,12, 2.80388643190018E-0003, 4.74147913172333E-0004,UHA-0014,12,12,0, 7.88804192185760E+0000,UHA-0260,12,12,1, 2.65536252623557E+0000, 0.00000000000000E+0000,,12,1, 4.57495116553343E+0000, 0.00000000000000E+0000,,
UHA-0077,12, 2.80388643190018E-0003, 4.74147913172333E-0004,UHA-0014,12,12,0, 7.88804192185760E+0000,UHA-0210,11,11,1, 3.46314602353419E+0000, 0.00000000000000E+0000,,11,2, 2.05673312828461E+0000, 0.00000000000000E+0000,,
UHA-0077,12, 2.80388643190018E-0003, 4.74147913172333E-0004,UHA-0014,12,12,0, 7.88804192185760E+0000,UHA-0261,12,12,2, 1.28036098353264E+0000, 0.00000000000000E+0000,,12,2, 1.25755893423799E+0000, 0.00000000000000E+0000,,
