Offspring_ID,Maternal_ID,MT_ID,Candidate_father_ID,CF_ID,Maternal_Species,Maternal_Longitude,Maternal_Latitude,Maternal_Accession,Candidate_Father_Species,Candidate_Father_Longitude,Candidate_Father_Latitude,Candidate_Father_Accession,DBH1_Paternal,DBH2_Paternal,DBH3_Paternal,DBH4_Paternal,Half_Sibs,M_Accession_Abrv,F_Accession_Abrv,dist_par,Hybrid_Status
UHA-0050,UHA-0260,MT9,UHA-0261,MT10,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,50.6,NA,NA,NA,TRUE,570-78,570-78,12.10702155,FALSE
UHA-0441,UHA-0260,MT9,UHA-0261,MT10,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,50.6,NA,NA,NA,TRUE,570-78,570-78,12.10702155,FALSE
UHA-0442,UHA-0260,MT9,UHA-0261,MT10,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.066218,41.813887,570-78*3,50.6,NA,NA,NA,TRUE,570-78,570-78,12.10702155,FALSE
UHA-0446,UHA-0260,MT9,UHA-0263,CF9,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.063389,41.811663,704-46*11,61.1,NA,NA,NA,FALSE,570-78,704-46,340.1086888,FALSE
UHA-0450,UHA-0260,MT9,UHA-0268,CF14,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus prinoides,-88.063133,41.813314,120-2001*2,13.2,5.3,6.8,NA,FALSE,570-78,120-20,269.8835514,TRUE
UHA-0045,UHA-0260,MT9,UHA-0351,MT11,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,61.60134489,FALSE
UHA-0047,UHA-0260,MT9,UHA-0351,MT11,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,61.60134489,FALSE
UHA-0053,UHA-0260,MT9,UHA-0351,MT11,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,61.60134489,FALSE
UHA-0054,UHA-0260,MT9,UHA-0351,MT11,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,61.60134489,FALSE
UHA-0058,UHA-0260,MT9,UHA-0351,MT11,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,61.60134489,FALSE
UHA-0440,UHA-0260,MT9,UHA-0351,MT11,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,570-78,549-82,61.60134489,FALSE
UHA-0044,UHA-0260,MT9,UHA-0512,CF19,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus macrocarpa,-88.0643909,41.8165587,NA,56.1,NA,NA,NA,NA,570-78,NA,345.0780116,TRUE
UHA-0447,UHA-0260,MT9,UHA-0512,CF19,Quercus muehlenbergii,-88.066314,41.813805,570-78*1,Quercus macrocarpa,-88.0643909,41.8165587,NA,56.1,NA,NA,NA,NA,570-78,NA,345.0780116,TRUE
