Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0070,13, 8.39585443376366E-0004, 1.38504073337561E-0004,UHA-0014,13,13,0, 1.18267888137942E+0001,UHA-0262,13,13,0, 1.27319331790942E+0001, 2.73343761570757E-0001,-,13,0, 1.29859481869807E+0001, 6.72596022366333E-0001,+,
UHA-0071,12, 2.27041667098717E-0004, 3.63660763815356E-0006,UHA-0014,13,12,0, 9.59302825409242E+0000,UHA-0266,12,12,1, 6.05779095831536E+0000, 2.08145703284588E+0000,+,12,1, 7.56314817310059E+0000, 7.56314817310059E+0000,*,
UHA-0072,13, 5.79718332779211E-0004, 5.78410315890013E-0006,UHA-0014,13,13,0, 8.27624214912754E+0000,UHA-0266,12,12,0, 1.04826191101935E+0001, 1.00535215090093E+0001,*,12,0, 1.34978199477807E+0001, 1.34978199477807E+0001,*,
UHA-0073,13, 6.49228592313553E-0005, 6.67973787949473E-0006,UHA-0014,13,13,0, 1.23296515845914E+0001,UHA-0267,13,13,0, 1.40766390949510E+0001, 2.30369915947218E+0000,+,13,1, 9.07742452833686E+0000, 5.85014189015055E+0000,*,
UHA-0074,13, 6.58162304779277E-0004, 1.18687820896255E-0007,UHA-0014,13,13,0, 5.54451214470398E+0000,UHA-0256,11,11,2,-6.03416403937231E-0001, 0.00000000000000E+0000,,11,3,-2.76225496612190E+0000, 0.00000000000000E+0000,,
UHA-0075,12, 1.50340598814774E-0004, 8.13128612020523E-0006,UHA-0014,13,12,0, 9.87558510561147E+0000,UHA-0351,13,12,1, 4.47226991588930E+0000, 0.00000000000000E+0000,,12,1, 7.13980931694790E+0000, 7.13980931694790E+0000,*,
UHA-0076,13, 1.47648653815318E-0004, 2.65682434034941E-0006,UHA-0014,13,13,0, 1.02049958654197E+0001,UHA-0266,12,12,0, 1.13276594052662E+0001, 8.36274070195691E-0001,-,12,0, 1.32533334294176E+0001, 1.32533334294176E+0001,*,
UHA-0077,13, 4.04066377801870E-0004, 2.58212743578926E-0005,UHA-0014,13,13,0, 1.10758693205714E+0001,UHA-0224,13,13,2,-1.50535280263820E+0000, 0.00000000000000E+0000,,13,2, 1.53365821495648E+0000, 1.53365821495648E+0000,+,
UHA-0079,13, 4.42195356706954E-0006, 4.42195356706954E-0006,UHA-0014,13,13,0, 1.42038808282056E+0001,UHA-0267,13,13,0, 1.44902702978564E+0001, 1.37867239953711E+0000,+,13,0, 1.45434601568613E+0001, 6.93363207044710E-0001,+,
UHA-0080,12, 4.28690839095472E-0005, 1.89918876398022E-0007,UHA-0014,13,12,0, 9.22766829577549E+0000,UHA-0265,13,12,0, 1.31526399371257E+0001, 3.24040808044743E+0000,+,12,1, 1.27910497897683E+0001, 1.27910497897683E+0001,*,
