"PlantId","ProvenanceType","SuppliedAs","ReceivedYear","CalcFullName","CalcNameSort","TradeSeries","Trademark","TrademarkRegistered","LivingAccessionDonor","Collectors","FieldNumber","CollectionDay","CollectionMonth","CollectionYear","LocalityNotes","GardenLocalityName","GardenSubarea3","GardenSubarea5","GardenSubarea4","CalcRemainingPlantQuantity","GardenSubarea1","GardenSubarea2","GardenLayout","Annotate","GardenSequence","Latitude","Longitude","HazardCode","HazardNote","CommemorationCategory","CommemorationText","CommemorationDate","CommemorationPerson","Sponsor","CommemorationNotes","Inventnote","Invcomment","Comments","Quercus_tf"
"704-46*14","w","seed",1946,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Nordine, RM","s.n.",NA,NA,NA,"site not noted","Rosaceae","","",NA,1,"B-67","78-80","","T",2860,41.811735,-88.063069,"","","available","","","","","","","","",TRUE
"564-2009*23","z","plant",2009,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","Shaw, CB","s.n.",NA,NA,NA,"Chicago Region","Morton East Woods","East Woods","not labeled",NA,1,"C-115","64-17","","ND",99999,41.812409,-88.04572,"","","","","","","","","","","",TRUE
"549-82*5","w","seed",1982,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Hedborn Jr, EA","1502",22,9,1982,"in Oswego Township Cemetery","Midwest","southwest section","",NA,1,"K-61","28-12","","T",4040,41.814004,-88.065622,"","","in memory of","In Memory of Carolyn A. Cherry","","Cherry, Carolyn A.","Evelyn Cherry","","","","",TRUE
"211-2011*5","z","plant",2011,"Quercus alba L.","QUERCUSALBA",NA,"","","POSSIBILITY PL. N.","?","s.n.",NA,NA,NA,"","Morton West Side","Schulenberg Prairie & Savanna","",NA,1,"T-09","13-46","","ND",99999,41.81578,-88.09126,"","","","","","","","","","","",TRUE
"339-2002*9","w","seed",2002,"Quercus variabilis Blume","QUERCUSVARIABILIS",NA,"","","NACPEC 2002 SHANXI EXPED.","","NACPEC 2002-061",24,9,2002,"near Huang Sha Ling, Yang Cheng Xian","China","south section","",NA,1,"X-63","47-73","","ND",14100,41.817645,-88.064827,"","","","","","","","","","","",TRUE
"145-75*2","w","seed",1974,"Quercus gambelii Nutt.","QUERCUSGAMBELII",NA,"","","MORTON-STAFF","?","s.n.",8,8,1974,"","Quercus","north section","",NA,1,"L-97","48-81","","T",6740,41.814673,-88.05219,"","","","","","","","","","","Transplanted 12SEP2003 from U-19/area to L-97/48-81.",TRUE
"214-2011*3","z","plant",2011,"Quercus ellipsoidalis E.J.Hill","QUERCUSELLIPSOIDALIS",NA,"","","POSSIBILITY PL. N.","?","s.n.",NA,NA,NA,"","Morton Prairie Restoration","unlabeled section","",NA,1,"W-013","01-62","","ND",99999,41.816534,-88.092703,"","","","","","","","","","","",TRUE
"145-75*1","w","seed",1974,"Quercus gambelii Nutt.","QUERCUSGAMBELII",NA,"","","MORTON-STAFF","?","s.n.",8,8,1974,"","Quercus","north section","",NA,1,"L-97","68-99","","T",6720,41.814729,-88.052127,"","","","","","","","","","","Transplanted 12SEP2003 from X-21/79-23 to L-97/68-99.",TRUE
"704-46*7","w","seed",1946,"Quercus muehlenbergii Engelm.","QUERCUSMUEHLENBERGII",NA,"","","MORTON-STAFF","Nordine, RM","s.n.",NA,NA,NA,"site not noted","Meadow Lake","north side","",NA,1,"R-53","09-07","","T",2600,41.815796,-88.068655,"","","available","edge of lake","","","","1/2 roots cut during 2004 lake construction. Is recovering","","","",TRUE
"453-94*2","w","seed",1994,"Quercus × bushii Sarg.","QUERCUSBUSHII",NA,"","","INT. OAK SOC.","Green, T","s.n.",NA,NA,NA,"near Oquaka","Quercus","north section","",NA,1,"K-102","57-78","","",4220,41.814469,-88.050358,"","","","","","","","","","","",TRUE
