PlantId,Longitude,Latitude,RcvdYear,ProvenanceType,Species_Name,CalcNameSort,GardenLocalityName,GardenSubarea1,GridLoc,Annotate
552-2001*6,-88.049491,41.819891,2001,g,Quercus alba,QUERCUSALBA,East Woods,,EE-105/24-80,ND
552-2001*7,-88.049422,41.819915,2001,g,Quercus alba,QUERCUSALBA,East Woods,,EE-105/32-99,ND
552-2001*8,-88.049529,41.819833,2001,g,Quercus alba,QUERCUSALBA,East Woods,,EE-105/03-69,ND
553-2009*1,,,2009,w,Quercus alba,QUERCUSALBA,Morton East Woods,unlabeled section,AA-107/20-00,ND
564-2009*1,-88.049213,41.811593,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,AZ-105/99-55,ND
564-2009*10,-88.046028,41.811891,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,A-114/78-27,ND
564-2009*11,-88.048006,41.812165,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,B-108/96-91,ND
564-2009*12,-88.047926,41.811933,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,B-109/11-10,ND
564-2009*13,-88.045548,41.812084,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,B-115/44-60,ND
564-2009*14,-88.049352,41.812238,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-105/35-25,ND
564-2009*15,-88.047807,41.81231,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-109/47-47,ND
564-2009*16,-88.047944,41.812336,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-109/58-10,ND
564-2009*17,-88.045519,41.812244,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-115/02-70,ND
564-2009*18,-88.045482,41.812253,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-115/05-80,ND
564-2009*19,-88.045513,41.812291,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-115/19-72,ND
564-2009*2,-88.048122,41.81156,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,AZ-108/77-52,ND
564-2009*20,-88.045622,41.81234,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-115/38-43,ND
564-2009*22,-88.045665,41.812405,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-115/62-32,ND
564-2009*23,-88.04572,41.812409,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,C-115/64-17,ND
564-2009*24,-88.045477,41.812552,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,D-115/14-85,ND
564-2009*25,-88.045525,41.812642,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,D-115/47-73,ND
564-2009*3,-88.04823,41.811593,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,AZ-108/90-23,ND
564-2009*4,-88.049084,41.811739,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,A-105/51-92,ND
564-2009*5,-88.048987,41.81169,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,A-106/32-18,ND
564-2009*6,-88.048314,41.811671,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,A-108/19-01,ND
564-2009*7,-88.047941,41.8117,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,A-109/26-03,ND
564-2009*8,-88.046173,41.811939,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,A-113/97-88,ND
564-2009*9,-88.045825,41.811876,2009,z,Quercus alba,QUERCUSALBA,Morton East Woods,East Woods,A-114/71-82,ND
56-98*12,-88.080581,41.818118,1998,g,Quercus alba,QUERCUSALBA,Sargent's Glade,south section,AA-20/65-85,ND
56-98*13,-88.080284,41.818021,1998,g,Quercus alba,QUERCUSALBA,Sargent's Glade,south section,AA-21/27-65,ND
56-98*14,-88.080303,41.81813,1998,g,Quercus alba,QUERCUSALBA,Sargent's Glade,south section,AA-21/67-61,ND
56-98*15,-88.080369,41.818216,1998,g,Quercus alba,QUERCUSALBA,Sargent's Glade,south section,AA-21/99-44,ND
56-98*16,-88.080237,41.818379,1998,g,Quercus alba,QUERCUSALBA,Sargent's Glade,south section,BB-21/57-82,ND
56-98*17,-88.080148,41.818425,1998,g,Quercus alba,QUERCUSALBA,Sargent's Glade,south section,BB-22/73-07,ND
56-98*19,-88.081655,41.820048,1998,g,Quercus alba,QUERCUSALBA,Daffodil Glade,,HH-18/78-16,ND
56-98*21,-88.081382,41.820497,1998,g,Quercus alba,QUERCUSALBA,Daffodil Glade,,JJ-18/39-96,ND
56-98*22,-88.081811,41.820403,1998,g,Quercus alba,QUERCUSALBA,Daffodil Glade,,JJ-17/09-78,ND
56-98*23,-88.081821,41.82054,1998,g,Quercus alba,QUERCUSALBA,Daffodil Glade,,JJ-17/59-77,ND
56-98*24,-88.076427,41.821035,1998,g,Quercus alba,QUERCUSALBA,Education Support Building,southeast section,KK-32/89-53,ND
56-98*8,-88.080956,41.817391,1998,g,Quercus alba,QUERCUSALBA,Sargent's Glade,south section,Y-19/04-74,ND
584-2009*100,-88.094412,41.816534,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,Schulenberg Prairie & Savanna,W-018/17-96,ND
584-2009*101,-88.094405,41.816603,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,Schulenberg Prairie & Savanna,W-018/42-99,ND
584-2009*27,-88.087013,41.811603,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-2/52-52,ND
584-2009*28,-88.087108,41.811672,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-2/78-27,ND
584-2009*29,-88.087065,41.811693,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-2/85-39,ND
584-2009*30,-88.086533,41.81161,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-3/50-83,ND
584-2009*31,-88.086387,41.81163,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-4/56-23,ND
